Revised Edition,,,,,,,,
DeckBox Number,DeckBox Count,Number,Name,Rarity,Color,Artist,1+,4+
226,0,42,Veteran Bodyguard,rare,White,Douglas Shuler,,
227,1,43,Wall of Swords,uncommon,White,Mark Tedin,X,
228,1,44,White Knight,uncommon,White,Daniel Gelon,X,
229,4,45,White Ward,uncommon,White,Dan Frazier,X,X
230,1,46,Wrath of God,rare,White,Quinton Hoover,X,
47,3,47,Air Elemental,uncommon,Blue,Richard Thomas,X,
48,0,48,Animate Artifact,uncommon,Blue,Douglas Shuler,,
49,4,49,Blue Elemental Blast,common,Blue,Richard Thomas,X,X
50,0,50,Braingeyser,rare,Blue,Mark Tedin,,
51,1,51,Clone,uncommon,Blue,Julie Baroh,X,
52,3,52,Control Magic,uncommon,Blue,Dameon Willich,X,
53,0,53,Copy Artifact,rare,Blue,Amy Weber,,
54,0,54,Counterspell,uncommon,Blue,Mark Poole,,
55,4,55,Creature Bond,common,Blue,Anson Maddocks,X,X
56,0,56,Drain Power,rare,Blue,Douglas Shuler,,
57,0,57,Energy Flux,uncommon,Blue,Kaja Foglio,,
58,1,58,Feedback,uncommon,Blue,Quinton Hoover,X,
59,4,59,Flight,common,Blue,Anson Maddocks,X,X
60,0,60,Hurkyl's Recall,rare,Blue,N├⌐N├⌐ Thomas,,
61,0,61,Island Fish Jasconius,rare,Blue,Jesper Myrfors,,
62,3,62,Jump,common,Blue,Mark Poole,X,
63,1,63,Lifetap,uncommon,Blue,Anson Maddocks,X,
64,2,64,Lord of Atlantis,rare,Blue,Melissa A. Benson,X,
65,1,65,Magical Hack,rare,Blue,Julie Baroh,X,
66,0,66,Mahamoti Djinn,rare,Blue,Dan Frazier,,
67,1,67,Mana Short,rare,Blue,Dameon Willich,X,
68,4,68,Merfolk of the Pearl Trident,common,Blue,Jeff A. Menges,X,X
69,1,69,Phantasmal Forces,uncommon,Blue,Mark Poole,X,
70,4,70,Phantasmal Terrain,common,Blue,Dameon Willich,X,X
71,1,71,Phantom Monster,uncommon,Blue,Jesper Myrfors,X,
72,0,72,Pirate Ship,rare,Blue,Tom W├ñnerstrand,,
73,2,73,Power Leak,common,Blue,Drew Tucker,X,
74,4,74,Power Sink,common,Blue,Richard Thomas,X,X
75,4,75,Prodigal Sorcerer,common,Blue,Douglas Shuler,X,X
76,3,76,Psychic Venom,common,Blue,Brian Sn├╡ddy,X,
77,4,77,Reconstruction,common,Blue,Anson Maddocks,X,X
78,1,78,Sea Serpent,common,Blue,Jeff A. Menges,X,
79,0,79,Serendib Efreet,rare,Blue,Jesper Myrfors,,
80,1,80,Siren's Call,uncommon,Blue,Anson Maddocks,X,
81,0,81,Sleight of Mind,rare,Blue,Mark Poole,,
82,2,82,Spell Blast,common,Blue,Brian Sn├╡ddy,X,
83,0,83,Stasis,rare,Blue,Fay Jones,,
84,2,84,Steal Artifact,uncommon,Blue,Amy Weber,X,
85,0,85,Thoughtlace,rare,Blue,Mark Poole,,
86,4,86,Unstable Mutation,common,Blue,Douglas Shuler,X,X
87,1,87,Unsummon,common,Blue,Douglas Shuler,X,
88,1,88,Vesuvan Doppelganger,rare,Blue,Quinton Hoover,X,
89,0,89,Volcanic Eruption,rare,Blue,Douglas Shuler,,
90,1,90,Wall of Air,uncommon,Blue,Richard Thomas,X,
91,1,91,Wall of Water,uncommon,Blue,Richard Thomas,X,
92,1,92,Water Elemental,uncommon,Blue,Jeff A. Menges,X,
1,1,93,Animate Dead,uncommon,Black,Anson Maddocks,X,
2,0,94,Bad Moon,rare,Black,Jesper Myrfors,,
3,2,95,Black Knight,uncommon,Black,Jeff A. Menges,X,
4,1,96,Bog Wraith,uncommon,Black,Jeff A. Menges,X,
5,0,97,Contract from Below,rare,Black,Douglas Shuler,,
6,1,98,Cursed Land,uncommon,Black,Jesper Myrfors,X,
7,4,99,Dark Ritual,common,Black,Sandra Everingham,X,X
8,0,100,Darkpact,rare,Black,Quinton Hoover,,
9,1,101,Deathgrip,uncommon,Black,Anson Maddocks,X,
10,0,102,Deathlace,rare,Black,Sandra Everingham,,
11,0,103,Demonic Attorney,rare,Black,Daniel Gelon,,
12,1,104,Demonic Hordes,rare,Black,Jesper Myrfors,X,
13,1,105,Demonic Tutor,uncommon,Black,Douglas Shuler,X,
14,4,106,Drain Life,common,Black,Douglas Shuler,X,X
15,4,107,Drudge Skeletons,common,Black,Sandra Everingham,X,X
16,1,108,El-Hajj├ój,rare,Black,Dameon Willich,X,
17,4,109,Erg Raiders,common,Black,Dameon Willich,X,X
18,1,110,Evil Presence,uncommon,Black,Sandra Everingham,X,
19,2,111,Fear,common,Black,Mark Poole,X,
20,2,112,Frozen Shade,common,Black,Douglas Shuler,X,
21,0,113,Gloom,uncommon,Black,Dan Frazier,,
22,4,114,Howl from Beyond,common,Black,Mark Poole,X,X
23,1,115,Hypnotic Specter,uncommon,Black,Douglas Shuler,X,
24,0,116,Lord of the Pit,rare,Black,Mark Tedin,,
25,0,117,Mind Twist,rare,Black,Julie Baroh,,
26,0,118,Nether Shadow,rare,Black,Christopher Rush,,
27,3,119,Nettling Imp,uncommon,Black,Quinton Hoover,X,
28,0,120,Nightmare,rare,Black,Melissa A. Benson,,
29,4,121,Paralyze,common,Black,Anson Maddocks,X,X
30,1,122,Pestilence,common,Black,Jesper Myrfors,X,
31,4,123,Plague Rats,common,Black,Anson Maddocks,X,X
32,3,124,Raise Dead,common,Black,Jeff A. Menges,X,
33,0,125,Royal Assassin,rare,Black,Tom W├ñnerstrand,,
34,2,126,Sacrifice,uncommon,Black,Dan Frazier,X,
35,4,127,Scathe Zombies,common,Black,Jesper Myrfors,X,X
36,0,128,Scavenging Ghoul,uncommon,Black,Jeff A. Menges,,
37,1,129,Sengir Vampire,uncommon,Black,Anson Maddocks,X,
38,2,130,Simulacrum,uncommon,Black,Mark Poole,X,
39,0,131,Sorceress Queen,rare,Black,Kaja Foglio,,
40,4,132,Terror,common,Black,Ron Spencer,X,X
41,4,133,Unholy Strength,common,Black,Douglas Shuler,X,X
42,1,134,Wall of Bone,uncommon,Black,Anson Maddocks,X,
43,0,135,Warp Artifact,rare,Black,Amy Weber,,
44,4,136,Weakness,common,Black,Douglas Shuler,X,X
45,0,137,Will-o'-the-Wisp,rare,Black,Jesper Myrfors,,
46,0,138,Zombie Master,rare,Black,Jeff A. Menges,,
138,4,139,Atog,common,Red,Jesper Myrfors,X,X
139,2,140,Burrowing,uncommon,Red,Mark Poole,X,
140,0,141,Chaoslace,rare,Red,Dameon Willich,,
141,3,142,Disintegrate,common,Red,Anson Maddocks,X,
142,2,143,Dragon Whelp,uncommon,Red,Amy Weber,X,
143,4,144,Dwarven Warriors,common,Red,Douglas Shuler,X,X
144,2,145,Dwarven Weaponsmith,uncommon,Red,Mark Poole,X,
145,1,146,Earth Elemental,uncommon,Red,Dan Frazier,X,
146,3,147,Earthbind,common,Red,Quinton Hoover,X,
147,0,148,Earthquake,rare,Red,Dan Frazier,,
148,1,149,Fire Elemental,uncommon,Red,Melissa A. Benson,X,
149,4,150,Fireball,common,Red,Mark Tedin,X,X
150,3,151,Firebreathing,common,Red,Dan Frazier,X,
151,1,152,Flashfires,uncommon,Red,Dameon Willich,X,
152,0,153,Fork,rare,Red,Amy Weber,,
153,1,154,Goblin Balloon Brigade,uncommon,Red,Andi Rusu,X,
154,1,155,Goblin King,rare,Red,Jesper Myrfors,X,
155,0,156,Granite Gargoyle,rare,Red,Christopher Rush,,
156,4,157,Gray Ogre,common,Red,Dan Frazier,X,X
157,4,158,Hill Giant,common,Red,Dan Frazier,X,X
158,4,159,Hurloon Minotaur,common,Red,Anson Maddocks,X,X
159,2,160,Keldon Warlord,uncommon,Red,Kev Brockschmidt,X,
160,3,161,Kird Ape,common,Red,"Ken Meyer, Jr.",X,
161,2,162,Lightning Bolt,common,Red,Christopher Rush,X,
162,0,163,Magnetic Mountain,rare,Red,Susan Van Camp,,
163,0,164,Mana Flare,rare,Red,Christopher Rush,,
164,0,165,Manabarbs,rare,Red,Christopher Rush,,
165,0,166,Mijae Djinn,rare,Red,Susan Van Camp,,
166,4,167,Mons's Goblin Raiders,common,Red,Jeff A. Menges,X,X
167,2,168,Orcish Artillery,uncommon,Red,Anson Maddocks,X,
168,1,169,Orcish Oriflamme,uncommon,Red,Dan Frazier,X,
169,1,170,Power Surge,rare,Red,Douglas Shuler,X,
170,2,171,Red Elemental Blast,common,Red,Richard Thomas,X,
171,0,172,Roc of Kher Ridges,rare,Red,Andi Rusu,,
172,0,173,Rock Hydra,rare,Red,Jeff A. Menges,,
173,0,174,Sedge Troll,rare,Red,Dan Frazier,,
174,3,175,Shatter,common,Red,Amy Weber,X,
175,1,176,Shatterstorm,uncommon,Red,Mark Poole,X,
176,0,177,Shivan Dragon,rare,Red,Melissa A. Benson,,
177,1,178,Smoke,rare,Red,Jesper Myrfors,X,
178,0,179,Stone Giant,uncommon,Red,Dameon Willich,,
179,2,180,Stone Rain,common,Red,Daniel Gelon,X,
180,1,181,Tunnel,uncommon,Red,Dan Frazier,X,
181,1,182,Uthden Troll,uncommon,Red,Douglas Shuler,X,
182,2,183,Wall of Fire,uncommon,Red,Richard Thomas,X,
183,1,184,Wall of Stone,uncommon,Red,Dan Frazier,X,
184,0,185,Wheel of Fortune,rare,Red,Daniel Gelon,,
93,1,186,Aspect of Wolf,rare,Green,Jeff A. Menges,X,
94,0,187,Birds of Paradise,rare,Green,Mark Poole,,
95,1,188,Channel,uncommon,Green,Richard Thomas,X,
96,0,189,Cockatrice,rare,Green,Dan Frazier,,
97,4,190,Craw Wurm,common,Green,Daniel Gelon,X,X
98,1,191,Crumble,uncommon,Green,Jesper Myrfors,X,
99,1,192,Desert Twister,uncommon,Green,Susan Van Camp,X,
100,2,193,Elvish Archers,rare,Green,Anson Maddocks,X,
101,0,194,Fastbond,rare,Green,Mark Poole,,
102,3,195,Fog,common,Green,Jesper Myrfors,X,
103,1,196,Force of Nature,rare,Green,Douglas Shuler,X,
104,0,197,Fungusaur,rare,Green,Daniel Gelon,,
105,1,198,Gaea's Liege,rare,Green,Dameon Willich,X,
106,2,199,Giant Growth,common,Green,Sandra Everingham,X,
107,1,200,Giant Spider,common,Green,Sandra Everingham,X,
108,3,201,Grizzly Bears,common,Green,Jeff A. Menges,X,
109,0,202,Hurricane,uncommon,Green,Dameon Willich,,
110,1,203,Instill Energy,uncommon,Green,Dameon Willich,X,
111,2,204,Ironroot Treefolk,common,Green,Jesper Myrfors,X,
112,0,205,Kudzu,rare,Green,Mark Poole,,
113,0,206,Ley Druid,uncommon,Green,Sandra Everingham,,
114,1,207,Lifeforce,uncommon,Green,Dameon Willich,X,
115,0,208,Lifelace,rare,Green,Amy Weber,,
116,0,209,Living Artifact,rare,Green,Anson Maddocks,,
117,1,210,Living Lands,rare,Green,Jesper Myrfors,X,
118,3,211,Llanowar Elves,common,Green,Anson Maddocks,X,
119,2,212,Lure,uncommon,Green,Anson Maddocks,X,
120,2,213,Regeneration,common,Green,Quinton Hoover,X,
121,1,214,Regrowth,uncommon,Green,Dameon Willich,X,
122,4,215,Scryb Sprites,common,Green,Amy Weber,X,X
123,2,216,Shanodin Dryads,common,Green,Anson Maddocks,X,
124,2,217,Stream of Life,common,Green,Mark Poole,X,
125,1,218,Thicket Basilisk,uncommon,Green,Dan Frazier,X,
126,0,219,Timber Wolves,rare,Green,Melissa A. Benson,,
127,0,220,Titania's Song,rare,Green,Kerstin Kaman,,
128,4,221,Tranquility,common,Green,Douglas Shuler,X,X
129,0,222,Tsunami,uncommon,Green,Richard Thomas,,
130,0,223,Verduran Enchantress,rare,Green,Kev Brockschmidt,,
131,0,224,Wall of Brambles,uncommon,Green,Anson Maddocks,,
132,1,225,Wall of Ice,uncommon,Green,Richard Thomas,X,
133,4,226,Wall of Wood,common,Green,Mark Tedin,X,X
134,2,227,Wanderlust,uncommon,Green,Cornelius Brudi,X,
135,4,228,War Mammoth,common,Green,Jeff A. Menges,X,X
136,0,229,Web,rare,Green,Rob Alexander,,
137,2,230,Wild Growth,common,Green,Mark Poole,X,
231,0,231,Aladdin's Lamp,rare,X,Mark Tedin,,
232,0,232,Aladdin's Ring,rare,X,Dan Frazier,,
233,0,233,Ankh of Mishra,rare,X,Amy Weber,,
234,1,234,Armageddon Clock,rare,X,Amy Weber,X,
235,1,235,Basalt Monolith,uncommon,X,Jesper Myrfors,X,
236,1,236,Black Vise,uncommon,X,Richard Thomas,X,
237,1,237,Bottle of Suleiman,rare,X,Jesper Myrfors,X,
238,0,238,Brass Man,uncommon,X,Christopher Rush,,
239,2,239,Celestial Prism,uncommon,X,Amy Weber,X,
240,0,240,Clockwork Beast,rare,X,Drew Tucker,,
241,1,241,Conservator,uncommon,X,Amy Weber,X,
242,0,242,Crystal Rod,uncommon,X,Amy Weber,,
243,0,243,Dancing Scimitar,rare,X,Anson Maddocks,,
244,0,244,Dingus Egg,rare,X,Dan Frazier,,
245,0,245,Disrupting Scepter,rare,X,Dan Frazier,,
246,1,246,Dragon Engine,rare,X,Anson Maddocks,X,
247,0,247,Ebony Horse,rare,X,Dameon Willich,,
248,0,248,Flying Carpet,rare,X,Mark Tedin,,
249,0,249,Glasses of Urza,uncommon,X,Douglas Shuler,,
250,1,250,Helm of Chatzuk,rare,X,Mark Tedin,X,
251,0,251,Howling Mine,rare,X,Mark Poole,,
252,1,252,Iron Star,uncommon,X,Dan Frazier,X,
253,1,253,Ivory Cup,uncommon,X,Anson Maddocks,X,
254,0,254,Ivory Tower,rare,X,Margaret Organ-Kean,,
255,0,255,Jade Monolith,rare,X,Anson Maddocks,,
256,0,256,Jandor's Ring,rare,X,Dan Frazier,,
257,0,257,Jandor's Saddlebags,rare,X,Dameon Willich,,
258,0,258,Jayemdae Tome,rare,X,Mark Tedin,,
259,0,259,Juggernaut,uncommon,X,Dan Frazier,,
260,0,260,Kormus Bell,rare,X,Christopher Rush,,
261,1,261,Library of Leng,uncommon,X,Daniel Gelon,X,
262,1,262,Living Wall,uncommon,X,Anson Maddocks,X,
263,1,263,Mana Vault,rare,X,Mark Tedin,X,
264,1,264,Meekstone,rare,X,Quinton Hoover,X,
265,0,265,Millstone,rare,X,Kaja Foglio,,
266,0,266,Mishra's War Machine,rare,X,Amy Weber,,
267,1,267,Nevinyrral's Disk,rare,X,Mark Tedin,X,
268,0,268,Obsianus Golem,uncommon,X,Jesper Myrfors,,
269,0,269,Onulet,rare,X,Anson Maddocks,,
270,2,270,Ornithopter,uncommon,X,Amy Weber,X,
271,1,271,Primal Clay,rare,X,Kaja Foglio,X,
272,0,272,Rocket Launcher,rare,X,Pete Venters,,
273,3,273,Rod of Ruin,uncommon,X,Christopher Rush,X,
274,2,274,Sol Ring,uncommon,X,Mark Tedin,X,
275,2,275,Soul Net,uncommon,X,Dameon Willich,X,
276,0,276,Sunglasses of Urza,rare,X,Dan Frazier,,
277,0,277,The Hive,rare,X,Sandra Everingham,,
278,1,278,The Rack,uncommon,X,Richard Thomas,X,
279,1,279,Throne of Bone,uncommon,X,Anson Maddocks,X,
280,0,280,Winter Orb,rare,X,Mark Tedin,,
281,1,281,Wooden Sphere,uncommon,X,Mark Tedin,X,
282,0,282,Badlands,rare,Y,Rob Alexander,,
283,0,283,Bayou,rare,Y,Jesper Myrfors,,
296,0,284,Plateau,rare,Y,Cornelius Brudi,,
297,0,285,Savannah,rare,Y,Rob Alexander,,
298,0,286,Scrubland,rare,Y,Jesper Myrfors,,
302,0,287,Taiga,rare,Y,Rob Alexander,,
303,0,288,Tropical Island,rare,Y,Jesper Myrfors,,
304,0,289,Tundra,rare,Y,Jesper Myrfors,,
305,0,290,Underground Sea,rare,Y,Rob Alexander,,
306,0,291,Volcanic Island,rare,Y,Brian Sn├╡ddy,,
293,3,292,Plains,common,Y,Jesper Myrfors,X,
294,0,293,Plains,common,Y,Jesper Myrfors,,
295,1,294,Plains,common,Y,Jesper Myrfors,X,
287,4,295,Island,common,Y,Mark Poole,X,X
288,4,296,Island,common,Y,Mark Poole,X,X
289,4,297,Island,common,Y,Mark Poole,X,X
299,4,298,Swamp,common,Y,Dan Frazier,X,X
300,4,299,Swamp,common,Y,Dan Frazier,X,X
301,4,300,Swamp,common,Y,Dan Frazier,X,X
290,4,301,Mountain,common,Y,Douglas Shuler,X,X
291,4,302,Mountain,common,Y,Douglas Shuler,X,X
292,4,303,Mountain,common,Y,Douglas Shuler,X,X
284,4,304,Forest,common,Y,Christopher Rush,X,X
285,4,305,Forest,common,Y,Christopher Rush,X,X
286,4,306,Forest,common,Y,Christopher Rush,X,X
